Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
Team Vitality,Sayf,Logitech G Pro X Superlight Red,1000,800,0.25,200,1.3,ASUS ROG SWIFT PG259QN,1280x1024,Artisan FX Hien XSoft,Wooting 60 HE,HyperX Cloud II
Team Vitality,trexx,Logitech G Pro X Superlight Magenta,1000,800,0.226,180.8,1,ZOWIE XL2546K,1920x1080,VAXEE PA ZYGEN,Anne Pro 2,HyperX Cloud Alpha S
Team Vitality,runneR,Razer Viper V3 Pro Black,1000,400,0.44,176,,,1280x960,Xtrfy GP5 Vitality 10th Anniversary,Xtrfy K5 Compact RGB Black,JBL Quantum One
Team Vitality,Kicks,Razer Viper V3 Pro Black,1000,800,0.27,216,,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,Logitech G Pro X Headset
Natus Vincere,ANGE1,Razer Deathadder V3 Pro White,1000,800,0.5,400,1,ZOWIE XL2546,1280x960,Logitech G640 NAVI,Logitech G715,HyperX Cloud Revolver
Natus Vincere,ardiis,Logitech G Pro X Superlight White,1000,800,0.27,216,1,AOC AG251FZ2E,1920x1080,Artisan Ninja FX Zero Soft,Logitech G Pro X Keyboard,Logitech G Pro X Headset
Natus Vincere,Zyppan,Razer Deathadder V3 Pro Black,1000,800,0.24,192,1,,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,
Natus Vincere,Crazyface,ASUS ROG Harpe Ace,1000,800,0.4,320.00,1,ZOWIE XL2566K,1920x1080,ASUS ROG Hone Ace Aim Lab,ASUS ROG Falchion Ace,ASUS ROG Fusion II 500
Natus Vincere,Suygetsu,Logitech G Pro X Superlight 2 White,1000,800,0.25,200,1,ZOWIE XL2546,1920x1080,Zowie G-SR II,Logitech G Pro X 60,Logitech G Pro X Headset
Natus Vincere,Shao,Razer Deathadder V3 Pro Black,1000,800,0.35,280,1,ZOWIE XL2546,1920x1080,Logitech G740,Logitech G Pro X 60,HyperX Cloud II
Cloud9,Xeppaa,ZOWIE EC2-CW,1000,1600,0.14,224,1,ZOWIE XL2566K,1280x960,ZOWIE G-SR-SE Gris,HyperX Alloy Origins Core,HyperX Cloud II
Cloud9,jakee,Logitech G Pro X Superlight Black,1000,800,0.217,173.6,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II Pink
Cloud9,runi,Logitech G Pro X Superlight Black,1000,800,0.3,240,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,,HyperX Cloud II
Cloud9,wippie,ZOWIE EC1-CW,1000,800,0.861,688.80,0.948,ZOWIE XL2566K,1024x768,Logitech G640 NAVI,Logitech G915,Logitech G Pro X Wireless Headset
Cloud9,Moose,Razer Deathadder V3 Pro White,1000,800,0.33,264,1,ZOWIE XL2546,1280x960,SteelSeries QcK Heavy,Logitech G915 TKL Carbon,HyperX Cloud II Wireless
Cloud9,OXY,Logitech G Pro X Superlight Black,1000,800,0.23,184,1,,1600x1024,ZOWIE G-SR-SE Gris,Wooting 60 HE,Sennheiser HD 599
Cloud9,vanity,VAXEE NP-01S Yellow,1000,1600,0.141,225.6,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,HyperX Cloud II
Team Liquid,frttt,ZOWIE EC2,1000,1600,0.755,1208,1,ZOWIE XL2546K,1920x1080,HyperX Fury S Pro,HyperX Alloy FPS,HyperX Cloud II
Team Liquid,Mendo,Logitech G Pro X Superlight White,1000,450,0.55,247.5,1,Alienware AW2521H,1440x1080,Artisan Ninja FX Zero Soft,Custom Keyboard,beyerdynamic DT 1990 PRO
Team Liquid,Mistic,Logitech G Pro X Superlight Magenta,1000,800,0.24,192,1,ZOWIE XL2546K,1280x960,VAXEE PA FunSpark,Wooting 60 HE,HyperX Cloud II
Team Liquid,bizerra,Logitech G Pro X Superlight Black,1000,800,0.26,208,,Alienware AW2521HF,1920x1080,Artisan Ninja FX Zero Soft,Logitech G Pro X Keyboard,HyperX Cloud Orbit S
Team Liquid,joojina,VAXEE XE Wireless Orange,1000,800,0.4,320,,ASUS TUF VG279QM,1920x1080,VAXEE PA FunSpark,Alienware AW420K,Logitech G733
Team Liquid,bstrdd,Logitech G Pro X Superlight 2 Black,2000,800,0.29,232,,Alienware AW2521HF,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,HyperX Cloud III
Team Liquid,Keiko,Lamzu Thorn Black,1000,800,0.25,200,1,ZOWIE XL2546K,1280x960,Artisan FX Hien Mid,Wooting 60 HE,
Team Liquid,Jamppi,ZOWIE EC1-CW,1000,800,0.317,253.56,1.009,Alienware AW2523HF,1440x1080,VAXEE PB,Alienware AW420K,HyperX Cloud II
Team Liquid,Enzo,Lamzu Atlantis,1000,800,0.314,251.2,1,ZOWIE XL2546,1440x1080,VAXEE PB,Razer Huntsman V2,HyperX Cloud III
Team Liquid,nAts,ZOWIE U2,1000,800,0.49,392,1,ZOWIE XL2546K,1280x960,ZOWIE G-SR,Alienware Pro Wireless Keyboard,HyperX Cloud III
Fnatic,Leo,Razer Deathadder V3 Pro White,1000,400,0.41,164,1,ZOWIE XL2566K,1280x1024,Artisan Ninja FX Zero Mid Orange,Wooting 60 HE,
Fnatic,Alfajer,Razer Deathadder V3 Pro White,1000,400,0.45,180,1,ZOWIE XL2566K,1920x1080,Artisan Hayate Otsu XSoft,Wooting 60 HE,HyperX Cloud II
Fnatic,Boaster,ZOWIE EC2-CW,1000,400,0.49,196,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Fnatic STREAK80 LP,Logitech G Pro X Headset
Fnatic,Chronicle,Razer Viper V3 Pro White,4000,1600,0.125,200,0.95,ASUS ROG PG27AQDM,2560x1440,La Onda BLITZ,Wooting 60 HE,beyerdynamic MMX 300
Fnatic,Derke,Razer Viper V3 Pro Black,2000,800,0.37,296,1.00,ASUS ROG PG27AQDM,2560x1440,Logitech G640 Original,Wooting 60 HE,HyperX Cloud II Gun Metal
FURIA,Khalil,Logitech G Pro X Superlight Black,1000,1600,0.21,336,1,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Gris,SteelSeries Apex Pro TKL (2023),HyperX Cloud II
FURIA,kon4n,Logitech G Pro X Superlight Black,1000,800,0.44,352,,,,Artisan Ninja FX Zero Soft,,
FURIA,havoc,Logitech G Pro X Superlight Black,1000,800,0.37,296,,AOC AG251FZ,1920x1080,Artisan Ninja FX Zero Mid,SteelSeries Apex Pro TKL (2023),HyperX Cloud II
FURIA,liazzi,Logitech G Pro X Superlight Black,1000,800,0.6,480,,AOC AG251FZ,1280x960,SteelSeries QcK Heavy,Wooting 60 HE,Logitech G Pro X Wireless Headset
FURIA,mwzera,Logitech G Pro X Superlight 2 Red,2000,800,0.4,320,0.89,ZOWIE XL2546K,1280x1024,SteelSeries QcK Heavy,Wooting 60 HE,HyperX Cloud II
FURIA,nzr,VAXEE OUTSET AX Wireless Blue,1000,800,0.45,360,1,AOC G2460PF,1920x1080,VAXEE PA PRIZM,HyperX Alloy Origins,HyperX Cloud II
Apeks,MOLSI,Logitech G Pro X Superlight Red,1000,1600,0.15,240,1,ZOWIE XL2566K,1280x960,Artisan Ninja FX Zero XSoft,Wooting 60 HE,HyperX Cloud II Wireless
Apeks,AvovA,Logitech G Pro X Superlight Black,1000,800,0.333,251.2,1.0,ZOWIE XL2546,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Wireless Headset
Apeks,hype,Lamzu Atlantis Mini Pro,1000,800,0.35,280,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Razer BlackShark V2 Pro Black
Apeks,soulcas,G-Wolves Hati S+ 4K,4000,400,0.494,197.6,0.88,Alienware AW2521H,2560x1440,Endgame Gear EM-C Plus,Wooting 60 HE,HyperX Cloud II
MIBR,tteuw,Logitech G402,1000,2000,0.375,750,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,,Logitech G Pro X Headset
MIBR,artzin,VAXEE XE Yellow,1000,1600,0.3,480,,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Gris,SteelSeries Apex Pro TKL (2023),HyperX Cloud II
MIBR,frz,Razer Viper V3 Pro Black,1000,800,0.32,256,1,ZOWIE XL2546,1920x1080,VAXEE PA Black,Logitech G915 TKL Carbon,HyperX Cloud II
MIBR,mazin,Razer Viper Mini Signature Edition,1000,800,0.35,280,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,HyperX Alloy Origins,HyperX Cloud II
MIBR,RgLM,Razer Viper V3 Pro Black,,800,0.4,320,,,,ZOWIE G-SR-SE Gris,Razer Huntsman V3 Pro TKL,HyperX Cloud II
MIBR,jzz,Razer Viper V3 Pro Black,1000,800,0.3,240,1,,1920x1080,VAXEE PA FunSpark V2,Logitech G Pro X Keyboard,HyperX Cloud II Gun Metal
Bilibili Gaming,Knight,Logitech G Pro X Superlight Black,1000,400,0.691,276.4,1,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,HyperX Cloud II
Bilibili Gaming,yosemite,Xtrfy M8 Frosty Mint,1000,800,0.3,240,,ZOWIE XL2566K,1280x960,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,
Bilibili Gaming,biank,VAXEE XE Wireless White,,800,0.314,251.2,,ZOWIE XL2566K,1440x1080,ZOWIE G-SR-SE Rouge,Wooting 60 HE,
Bilibili Gaming,whzy,Logitech G Pro X Superlight Black,1000,1600,0.13,208.00,1,ZOWIE XL2566K,1600x1024,VAXEE PA Y22,Wooting 60 HE,
All Knights,adverso,Logitech G Pro X Superlight White,1000,400,0.5,200,1,,1920x1080,X-raypad Aqua Control+,Varmilo VA87M Summit,HyperX Cloud II Wireless
3DMAX,Davidp,Logitech G Pro X Superlight Black,1000,400,0.68,272,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,Xtrfy K4 RGB,HyperX Cloud II
S2G,russ,ZOWIE EC2-CW,1000,800,0.45,360,1,ASUS TUF VG259QM,1920x1080,SteelSeries QcK Heavy,,Logitech G Pro X Headset
S2G,AsLanM4shadoW,Logitech G Pro X Superlight Red,1000,400,0.45,180,0.9,ZOWIE XL2546,1920x1080,SteelSeries QcK Large,Razer BlackWidow X Chroma Mercury,HyperX Cloud II
S2G,aimdll,Razer Deathadder V3 Pro Black,1000,800,0.27,216,1,ZOWIE XL2546K,1280x960,ZOWIE G-SR,Razer BlackWidow Elite,HyperX Cloud II
Ovation Esports,Luzuh,Razer Deathadder V3 Pro Black,1000,400,0.541,216,1,ZOWIE XL2540,1280x960,Razer Gigantus V2,Razer Huntsman V3 Pro,Razer BlackShark V2
Rex Regum Qeon,fl1pzjder,Finalmouse Ultralight X Medium,1000,400,0.534,213.6,0.7,,1920x1080,VAXEE PA FunSpark V2,,
TBK Esports,DeNaro,Razer Viper Ultimate,1000,400,0.520,208,1,Acer Predator XB252Q,1920x1080,Razer Gigantus,HyperX Alloy FPS,
Team SMG,enerii,Logitech G Pro X Superlight Magenta,1000,1600,0.17,272.00,,ZOWIE XL2546K,1440x1080,Artisan Ninja FX Zero Soft,Custom Keyboard,HyperX Cloud II
FUT Esports,yetujey,Logitech G Pro X Superlight White,1000,800,0.7,560,1,ASUS TUF VG279QM,1280x960,ZOWIE G-SR-SE Rouge,Logitech G Pro X TKL Keyboard White,Logitech G Pro X Headset
FUT Esports,cNed,ZOWIE U2,1000,800,0.3,240,1,ZOWIE XL2546K,1920x1080,Zowie G-SR II,SteelSeries Apex Pro TKL (2023),Logitech G Pro X Headset
FUT Esports,AtaKaptan,ZOWIE EC2-CW,1000,800,0.28,224,1,Alienware AW2521H,1280x960,ZOWIE G-SR-SE Rouge,Logitech G Pro X TKL Keyboard Black,HyperX Cloud II
FUT Esports,qRaxs,ZOWIE EC2-CW,1000,800,0.6,480,1,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Gris,SteelSeries Apex Pro Mini Black,HyperX Cloud II
FUT Esports,xand,Logitech G Pro X Superlight 2 Magenta,1000,1600,0.25,400,0.9,ZOWIE XL2546K,1920x1080,VAXEE PA FunSpark V2,EPOMAKER SKYLOONG SK61,HyperX Cloud Alpha
FUT Esports,MrFalin,Razer Deathadder V3 Pro Black,1000,800,0.33,264,1,Alienware AW2523HF,1920x1080,Artisan Ninja FX Zero Soft,Razer Huntsman V3 Pro TKL,
SK Gaming,Meddo,Logitech G Pro X Superlight Black,1000,800,0.25,200,1,ZOWIE XL2546,1920x1080,,,SteelSeries Arctis Pro White
SK Gaming,murii,G-Wolves Hati S+ 4K,1000,800,0.375,300,1,ASUS ROG STRIX XG248Q,1280x1024,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2
SK Gaming,Felix,Logitech G Pro X Superlight Black,1000,800,0.34,272,0.71,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Logitech G Pro Headset
ONE Team,ChiaWei,Razer Viper Mini Signature Edition,1000,1600,0.11,176.00,1,ZOWIE XL2546K,1920x1080,Zowie G-SR II,SteelSeries Apex Pro TKL,HyperX Cloud Alpha S
Oxygen Esports,mitch,Razer Deathadder V3 Pro Black,1000,800,0.28,224,1,ZOWIE XL2540,1920x1080,HyperX Fury S Pro,Ducky One 2 Mini,Razer BlackShark V2 Pro Black
Oxygen Esports,dapr,G-Wolves Hati S+ 4K,4000,1600,0.16,256.00,1,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Deep Blue,Wooting 60 HE,HyperX Cloud II Gun Metal
Attack All Around,ChAlalala,ZOWIE FK1,1000,400,0.6,240,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Razer BlackWidow Chroma V2,HyperX Cloud Alpha
Attack All Around,Kongared,Logitech G Pro X Superlight Red,1000,800,0.485,388,1,ZOWIE XL2546,1920x1080,Razer Gigantus,Razer Blackwidow Chroma TE V2,HyperX Cloud II
Digital Athletics,Doma,Logitech G Pro X Superlight Black,1000,800,0.35,280,0.75,ZOWIE XL2566K,1280x1024,VAXEE PA OUTSET,Razer BlackWidow V3 Pro,Logitech G Pro X Headset
M80,BCJ,Glorious Model D- Wireless White,1000,800,0.37,296,1,ZOWIE XL2566K,1440x1080,ZOWIE G-SR-SE Rouge,Varmilo VA87M Summit,Sennheiser GAME ONE
M80,nitr0,VAXEE XE Wireless Blue,500,400,0.7,280,1.04,Alienware AW2518H,1680x1050,VAXEE PA FunSpark V2,Wooting 60 HE,HyperX Cloud II Wireless
M80,Zander,Logitech G Pro X Superlight Magenta,1000,1600,0.115,184.00,0.95,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,HyperX Cloud II Wireless
M80,koalanoob,Logitech G Pro X Superlight Black,1000,400,0.627,250.80,1.013,,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud Stinger II
ALTERNATE aTTaX,stavros,Logitech G Pro X Superlight White,1000,1600,0.19,304,1,ZOWIE XL2566K,1920x1080,HyperX Fury S Pro,Xtrfy K2 RGB,Beyerdynamic MMX 150
ALTERNATE aTTaX,AdrianL,Logitech G Pro X Superlight 2 Black,2000,1600,0.15,240,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II
ALTERNATE aTTaX,Magnus,Logitech G Pro X Superlight 2 Black,2000,400,0.5,200,1.0,ZOWIE XL2566K,1920x1080,SteelSeries QcK Heavy,Wooting 60 HE,HyperX Cloud Alpha S
ALTERNATE aTTaX,treelover,Logitech G Pro X Superlight 2 Black,2000,1600,0.15,240,1,ZOWIE XL2546K,1280x960,Lethal Gaming Gear Saturn Pro,Wooting 60 HE,HyperX Cloud II
KPI Gaming,B1sk,Logitech G Pro X Superlight Black,1000,800,0.47,376,1,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Rouge,Varmilo VA87M Beijing Opera,HyperX Cloud Alpha S
Mandatory,HyP,Razer Viper V2 Pro Black,4000,800,0.45,360,1,,1920x1080,,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro Black
Mandatory,SoOn,Razer Deathadder V3 Pro Black,1000,800,0.4,320,1,ZOWIE XL2540K,1280x960,WALLHACK MO-001,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
UCAM Esports Club,L1NK,VAXEE XE Wireless Black,1000,800,0.24,192,1,ZOWIE XL2566K,1920x1080,VAXEE PB,Wooting 60 HE,HyperX Cloud II
UCAM Esports Club,OLIZERA,Logitech G Pro X Superlight 2 White,2000,800,0.35,280,1,ZOWIE XL2546K,1920x1080,Lethal Gaming Gear Saturn Pro Red,Wooting 60 HE,HyperX Cloud II
Unicorns of Love,nico,Logitech G Pro X Superlight Black,1000,400,0.4,160,1,Alienware AW2518H,1280x1024,Glorious 3XL,Logitech G Pro X Keyboard,Logitech G Pro X Wireless Headset
SuperMassive Esports,Izzy,Logitech G Pro X Superlight Black,1000,400,0.506,202.4,0.852,ZOWIE XL2546,1920x1080,,Corsair K70 RGB,HyperX Cloud II
SuperMassive Esports,MOJJ,Logitech G Pro X Superlight Red,1000,400,0.6,240,1,ASUS ROG STRIX XG248Q,1920x1080,ZOWIE G-SR-SE Rouge,HyperX Alloy Origins,HyperX Cloud II
Made In Thailand,cgrs,VAXEE ZYGEN NP-01S Glossy,1000,400,0.66,264,1,,1280x1024,,,
FULL SENSE,SuperBusS,ZOWIE EC1-CW,1000,800,0.29,232,1,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Rouge,Custom Keyboard,HyperX Cloud III Wireless
FULL SENSE,sushiboys,VAXEE ZYGEN NP-01S Wireless Pink,1000,800,0.37,296,0.9,ZOWIE XL2546K,1920x1080,ZOWIE G-SR,Glorious GMMK Pro,Logitech G Pro X Headset
FULL SENSE,LAMMYSNAX,Logitech G Pro X Superlight Black,1000,800,0.244,195.2,1,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro Red,Wooting 60 HE,Sennheiser GAME ZERO
FULL SENSE,PTC,Logitech G Pro X Superlight White,1000,800,0.35,280.00,1,ZOWIE XL2546,1440x1080,ZOWIE G-SR-SE Deep Blue,HyperX Alloy FPS,Logitech G Pro X Headset
FULL SENSE,JohnOlsen,Logitech G Pro X Superlight 2 Black,2000,800,0.4,320.00,1,ZOWIE XL2566K,1920x1080,Logitech G640 Black,Razer Huntsman V2,HyperX Cloud II
FULL SENSE,foxz,Razer Viper Mini Signature Edition,1000,800,0.37,296.00,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero XSoft,Custom Keyboard,HyperX Cloud II Pink
NAOS Esports,witz,VAXEE OUTSET AX,1000,800,0.410,328,,ZOWIE XL2546K,,Corsair MM350 Champion Series,Corsair K70 RGB TKL,
Team Secret,JessieVash,Glorious Model D Wireless,1000,800,0.42,336,0.91,ZOWIE XL2546K,1920x1080,Corsair MM350 Champion Series,Corsair K70 RGB TKL,Corsair HS80
Team Secret,Dispenser,VAXEE ZYGEN NP-01,1000,450,0.440,198,1,ZOWIE XL2546,1920x1080,Corsair MM350 Champion Series,SteelSeries Apex Pro TKL,
Team Secret,BORKUM,ZOWIE EC3-C,1000,400,0.65,260,1,ZOWIE XL2546K,1920x1080,Corsair MM350 Champion Series,Corsair K70 RGB TKL,Corsair HS80 RGB USB
FENNEL,Xdll,Razer Viper V3 Hyperspeed,1000,800,0.285,228,1,ZOWIE XL2546K,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro White
KOI,starxo,Logitech G Pro X Superlight Black,1000,800,0.39,312,1,ASUS ROG STRIX XG248Q,1280x1024,Xtrfy GP4 Street Blue,Logitech G Pro X Keyboard,HyperX Cloud II
KOI,Sheydos,Logitech G Pro X Superlight Red,1000,400,0.83,332,1.1,ZOWIE XL2546K,1280x960,Razer Gigantus V2,Logitech G Pro X Keyboard,Logitech G Pro X Headset
KOI,ShadoW,Finalmouse Ultralight 2,1000,400,0.408,163.2,1,ZOWIE XL2546,1920x1080,SteelSeries QcK+,Logitech G Pro X Keyboard,Logitech G Pro X Headset
KOI,kamo,Logitech G Pro X Superlight 2 White,2000,1000,0.32,320,,ZOWIE XL2546,1920x1080,VAXEE PA Pcute,Logitech G513,
G2 Gozen,mimi,Logitech G Pro X Superlight 2 Magenta,1000,800,0.32,256.00,1,AOC AG254FG,1280x960,Logitech G640 Original,Logitech G512,Logitech G Pro X Wireless Headset
Karmine Corp,xms,Razer Deathadder V3 Pro White,4000,800,0.45,360,1,ZOWIE XL2540,1920x1080,Logitech G640 Original,Ducky One 2,HyperX Cloud II
Karmine Corp,Shin,ZOWIE EC2-CW,1000,400,0.525,210,,,1280x960,Logitech G640 Original,,
Karmine Corp,tomaszy,ZOWIE EC2-C,2000,400,0.63,252,,,1600x1024,,Wooting 60 HE,Logitech G PRO X 2 Headset White
Karmine Corp,Magnum,Razer Viper V2 Pro Black,1000,400,0.454,181.6,0.9,AOC C24G1,1280x1024,SteelSeries QcK+,Wooting 60 HE,HyperX Cloud II
Karmine Corp,marteen,Logitech G Pro X Superlight Magenta,1000,800,0.39,312,1.587,Alienware AW2518H,1920x1080,Logitech G640 Black,Wooting 60 HE,Logitech G PRO X 2 Headset Black
Karmine Corp,N4RRATE,Logitech G Pro X Superlight Black,1000,1600,0.16,256,0.825,,1920x1080,Artisan Hayate Otsu Soft,Wooting 60 HE,
Talon Esports,Crws,Razer Deathadder V3 Pro Black,1000,1600,0.15,240,1,ZOWIE XL2546K,1280x960,ZOWIE G-SR,Custom Keyboard,Razer BlackShark V2 Pro Black
Talon Esports,Surf,Logitech G Pro X Superlight Magenta,1000,1600,0.145,232.00,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Soft Orange,Wooting 60 HE,Logitech G PRO X 2 Headset Black
Talon Esports,Patiphan,Endgame Gear XM1R,1000,800,0.5,400.00,0.92,ZOWIE XL2546,1920x1080,Yuki Aim Oni Black,Custom Keyboard,Sennheiser GAME ZERO
Talon Esports,governor,Logitech G Pro X Superlight Black,1000,1200,0.35,420,1,ZOWIE XL2566K,1920x1080,,Wooting 60 HE,beyerdynamic DT 990 Pro
Talon Esports,JitBoyS,Lamzu Atlantis Mini Pro,1000,800,0.6,480.00,1,ZOWIE XL2546K,1920x1080,Artisan Hayate Otsu XSoft,Logitech G915 TKL Carbon,HyperX Cloud II
Talon Esports,ban,Logitech G Pro X Superlight White,1000,1600,0.21,336,1,ZOWIE XL2540,1440x1080,Yuki Aim Kitsune,Varmilo MA Series V2 Yakumo White TKL,Corsair HS80 RGB USB
Global Esports,Bazzi,Logitech G Pro X Superlight Black,1000,1600,0.17,272,0.75,Alienware AW2518H,1920x1080,HyperX Fury S Pro XL,Logitech G Pro X Keyboard,SteelSeries Arctis Pro Wireless
Global Esports,Benkai,Logitech G Pro X Superlight Magenta,1000,800,0.25,200,0.7,ZOWIE XL2566K,1280x960,Artisan FX Hien Soft,Ducky One 2 Mini,EPOS H6PRO White
Global Esports,Russ,Logitech G Pro X Superlight Black,1000,800,0.38,304,1,ZOWIE XL2546K,1600x900,X-raypad Aqua Control+,HyperX Alloy Origins 60,HyperX Cloud II
Fokus Clan,al0rante,Razer Viper Mini Signature Edition,4000,800,0.175,140,1,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2
Fokus Clan,SEIDER,Logitech G Pro X Superlight Black,1000,1600,0.15,240,1,,1280x960,Razer Gigantus V2,Razer Huntsman V2 TKL,Logitech G Pro X Wireless Headset
Fokus Clan,azury,Razer Viper V2 Pro White,1000,1600,0.1,160,1.1,ZOWIE XL2566K,1920x1080,Razer Gigantus Elite,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro White
Fokus Clan,Kuba,Logitech G Pro X Superlight 2 Black,2000,400,0.50,200,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,JBL Quantum One
Fokus Clan,Matrixx,Razer Viper V2 Pro White,1000,400,0.35,140,1,ZOWIE XL2540K,1152x864,Razer Gigantus V2,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro White
CGN Esports,BennY,Razer Viper Mini Signature Edition,4000,800,0.315,252,1,ZOWIE XL2566K,1920x1080,Razer Gigantus Elite,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro White
CGN Esports,elllement,Razer Viper Mini Signature Edition,1000,1600,0.22,352,1,ZOWIE XL2566K,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro White
CGN Esports,DaviH,Razer Viper Mini Signature Edition,1000,800,0.28,224,1.14,ZOWIE XL2566K,1680x1050,Razer Strider,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro White
CGN Esports,Vince,Razer Viper V2 Pro White,1000,800,0.23,184,1,ZOWIE XL2566K,1920x1080,Razer Atlas,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro White
CGN Esports,aNguiSt,Razer Viper V2 Pro Black,2000,800,0.25,200,0.96,ZOWIE XL2566K,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro Black
KRÜ Esports,Melser,Logitech G Pro X Superlight Magenta,1000,400,0.56,224,1,Alienware AW2521H,1920x1080,Lethal Gaming Gear Saturn,Ducky One 2,Logitech G Pro X Headset
KRÜ Esports,Klaus,Logitech G Pro X Superlight Magenta,1000,1600,0.36,576,1.144,ZOWIE XL2546K,1920x1080,VAXEE PA Black,Razer Huntsman TE,Logitech G Pro X Wireless Headset
KRÜ Esports,Shyy,Razer Viper V2 Pro Black,1000,800,0.32,256,1,,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro Black
KRÜ Esports,mta,Logitech G Pro X Superlight Black,1000,800,0.3,240,,,1920x1080,X-raypad Aqua Control Zero,HyperX Alloy Origins Core,
KRÜ Esports,keznit,Logitech G Pro X Superlight 2 Magenta,2000,800,0.346,276.8,1,ZOWIE XL2546K,1920x1080,Lethal Gaming Gear Saturn Pro,Wooting 60 HE,HyperX Cloud II Wireless
KRÜ Esports,heat,Lamzu Atlantis 4K,1000,800,0.4,320,1,ZOWIE XL2566K,,Artisan Ninja FX Zero XSoft,Lamzu Atlantis Pro Keyboard,HyperX Cloud II
Turtle Troop,Corey,Endgame Gear XM2we,1000,800,0.486,388.8,1,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,Logitech G Pro X Headset
Turtle Troop,stellar,Logitech G Pro X Superlight White,1000,800,0.3,240,1,ZOWIE XL2546,1280x960,ZOWIE G-SR-SE Deep Blue,Higround Basecamp 65,HyperX Cloud II
Dplus KIA,exy,Logitech G Pro X Superlight Black,1000,400,0.503,201,1,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Logitech G433
Shopify Rebellion,seangares,HyperX Pulsefire Haste,1000,800,0.315,252,1,ZOWIE XL2546,1920x1080,HyperX Fury S Pro,HyperX Alloy FPS,HyperX Cloud Alpha
Shopify Rebellion,sarah,PMM NEO 8K Solid (Viper Mini-Based Custom),8000,1600,0.095,152,1,ZOWIE XL2566K,1920x1080,Artisan FX Hien Soft,Wooting 60 HE,Cooler Master MH752
Shopify Rebellion,florescent,Razer Viper Mini Signature Edition,4000,1600,0.16,256.00,0.722,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Razer Huntsman V3 Pro Mini,HyperX Cloud II
